image,ground_truth,prediction,CER_score
test058.jpg,N3153ACB N5829KJ N1780JL,N 3153 ACB,0.6364
test059.jpg,W8774PA B9162FXU,The license plate number on the truck in the background is B 9162 FXU.,3.1333
test060.jpg,L1846JE M1457ITA,M 1457 ITA,0.4667
test061.jpg,AA1971KJ BD1146DH,AA 1971 KJ,0.5
test062.jpg,B9654PEU AE7244S,The license plate number on the red bus is AE 7244 S.,2.1333
test063.jpg,S1208BI,S 1208 BI,0.0
test064.jpg,AE8137G,AE 8137 G,0.0
test065.jpg,H1706SW,H 1706 SW,0.0
test066.jpg,T1220HS H1790ZY,H 1790 ZY,0.5
test067.jpg,L1855BR AB1274EV,L 1855 BR,0.5333
test068.jpg,B2310UZS G1264CM,B 2310 UZS,0.4667
test069.jpg,AA1138AK,AA 1138 AK,0.0
test070.jpg,B2160TOB B2597BYK,B 2597 BYK,0.5
test071.jpg,G9545AG,G 9545 AG,0.0
test072.jpg,BG1870IB,BG 1870 IB,0.0
test073.jpg,T1187HB A1330FP,1187 HB,0.5714
test074.jpg,G1368GE B1081CMR,The license plate number on the van in the image is G 1368 GE.,3.0667
test075.jpg,G2474XZ G9173BP 7066OF,G 9173 BP,0.65
test076.jpg,G2151ASF E500MA G4689SN,G 2151 ASF,0.619
test077.jpg,G1754QZ,G 1754 OZ,0.1429
test078.jpg,H1413DH,H 1413 DH,0.0
test079.jpg,T1688GY A1260AJ,T 1688 GY,0.5
test080.jpg,D77HSB B1861TOI D1160ADE,D 77 HSB,0.7273
test081.jpg,F8097BD F1992AM,F 1992 AM,0.5
test082.jpg,E1824YZ B9093UEX,E 1824 YZ,0.5333
test083.jpg,F5052AAE F5452CQ,F 5052 AAE,0.4667
test084.jpg,B1158PYP B1242VOY,B 1242 VOY,0.5
test085.jpg,B1315KIF B2938FVJ B2560SKZ,B 2938 FVJ,0.6667
test086.jpg,B1291NOJ B1556NRC,B 1556 NRC,0.5
test087.jpg,B6823WXR B6317NXK F2215FCQ 4039NHR,B 6823 WXR,0.7419
test088.jpg,B2190TYB B1902VKA,B 1902 VKA,0.5
test089.jpg,D8609N A8406ZE B1246KRK,The license plate number on the truck in the foreground is A 8609 N.,2.381
test090.jpg,T9314E N9579U,T 9314 E,0.5
test091.jpg,B2910KZW B9721KXV,B 2910 KZW,0.5
test092.jpg,B1104AAA T1579FN B2346POC,B 1104 AAA,0.6522
test093.jpg,B2026BIU,B 2026 BIU,0.0
test094.jpg,G1255EJ,G 1255 EJ,0.0
test095.jpg,B1201KAD B2310JUK B28YHH,B 1201 KAD,0.6364
test096.jpg,B1354COJ B1502NRO,B 1354 COJ,0.5
test097.jpg,B1650NOG B6354SVL,B 1650 N0G,0.5625
test098.jpg,B1779DOB,B 1779 DOB,0.0
test099.jpg,B2017PBQ B1892WZT,B 1892 WZT,0.5
test100.jpg,B1071PRG B2134PZJ,B 1071 PRG,0.5
